Date,Close,Open,High,Low,Volume
2018-05-17,71.49,71.56,72.3,71.09,562639.0
2018-05-18,71.28,71.6,71.75,70.99,211785.0
2018-05-19,71.6,71.56,72.03,71.08,181154.0
2018-05-20,71.92,71.51,72.31,71.16,150523.0
2018-05-21,72.24,71.47,72.59,71.25,119892.0
2018-05-22,72.13,72.53,72.83,71.9,723458.0
2018-05-23,71.84,72.11,72.26,71.19,702791.0
2018-05-24,70.71,71.83,72.0,70.52,640725.0
2018-05-25,67.88,70.65,70.8,67.42,955354.0
2018-05-26,67.59,69.61,69.94,67.04,981453.0
2018-05-27,67.31,68.57,69.08,66.67,1007552.0
2018-05-28,67.02,67.53,68.21,66.29,1033651.0
2018-05-29,66.73,66.49,67.35,65.92,1059750.0
2018-05-30,68.21,66.85,68.67,66.35,726886.0
2018-05-31,67.04,68.24,68.3,66.56,917563.0
2018-06-01,65.81,67.07,67.34,65.51,781103.0
2018-06-02,65.46,66.62,66.91,65.2,752752.0
2018-06-03,65.1,66.16,66.47,64.88,724401.0
2018-06-04,64.75,65.71,66.04,64.57,696050.0
2018-06-05,65.52,64.94,65.57,64.22,714674.0
2018-06-06,64.73,65.51,65.96,64.27,708829.0
2018-06-07,65.95,65.07,66.07,64.81,675041.0
2018-06-08,65.74,65.98,66.24,65.15,571224.0
2018-06-09,65.86,65.84,66.28,65.05,566909.67
2018-06-10,65.98,65.7,66.31,64.95,562595.33
2018-06-11,66.1,65.56,66.35,64.85,558281.0
2018-06-12,66.36,66.05,66.7,65.87,524411.0
2018-06-13,66.64,66.01,66.89,65.52,626398.0
2018-06-14,66.89,66.62,67.16,66.36,460168.0
2018-06-15,65.06,66.62,67.16,64.29,512591.0
2018-06-16,65.32,65.88,66.77,64.06,414705.0
2018-06-17,65.59,65.14,66.37,63.82,316819.0
2018-06-18,65.85,64.4,65.98,63.59,218933.0
2018-06-19,65.07,65.82,65.9,64.39,122646.0
2018-06-20,66.22,65.11,66.53,65.01,801625.0
2018-06-21,65.54,65.34,66.22,64.34,760719.0
2018-06-22,68.58,65.93,69.38,65.71,1136232.0
2018-06-23,68.41,66.87,69.4,66.4,1029557.0
2018-06-24,68.25,67.81,69.42,67.09,922882.0
2018-06-25,68.08,68.75,69.44,67.78,816207.0
2018-06-26,70.53,68.21,70.91,67.72,848537.0
2018-06-27,72.76,70.68,73.06,70.56,775155.0
2018-06-28,73.45,72.27,74.03,72.2,717347.0
2018-06-29,74.15,73.33,74.46,72.93,602399.0
2018-06-30,74.08,73.43,74.42,72.79,618988.33
2018-07-01,74.01,73.52,74.39,72.65,635577.67
2018-07-02,73.94,73.62,74.35,72.51,652167.0
2018-07-03,73.61,73.86,74.5,72.52,715322.0
2018-07-04,73.27,74.11,74.65,72.52,778477.0
2018-07-05,72.94,74.35,74.8,72.53,841632.0
2018-07-06,73.8,73.16,74.01,72.14,611419.0
2018-07-07,73.82,73.4,74.1,72.42,585280.33
2018-07-08,73.83,73.63,74.19,72.71,559141.67
2018-07-09,73.85,73.87,74.28,72.99,533003.0
2018-07-10,74.11,74.04,74.7,73.65,586829.0
2018-07-11,70.38,74.2,74.26,70.02,861726.0
2018-07-12,70.33,70.6,71.24,69.23,707887.0
2018-07-13,71.01,70.38,71.66,69.84,530277.0
2018-07-14,70.03,70.43,71.4,69.09,530344.67
2018-07-15,69.04,70.47,71.13,68.33,530412.33
2018-07-16,68.06,70.52,70.87,67.58,530480.0
2018-07-17,68.08,68.03,68.44,67.03,440727.0
2018-07-18,68.76,67.61,69.06,67.04,187313.0
2018-07-19,69.46,69.0,70.17,67.8,103220.0
2018-07-20,70.46,69.39,71.1,69.37,500967.0
2018-07-21,69.6,68.98,70.5,68.78,519283.0
2018-07-22,68.75,68.58,69.91,68.19,537599.0
